date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:07	422217/422217	---MCZ	200	added ('OK')	text/html	etag:W/%2262e8bc49727fd6521d474a3b65b163ff%22	https://codigodivino.site/	D:/Meus%20Sites/CodigoDivino/codigodivino.site/index.html	(from )
20:03:07	71/71	---M--	200	added ('OK')	text/plain	etag:%225b86ee15df87b237809b744bef7f7df8%22	https://codigodivino.site/robots.txt		(from )
20:03:08	279328/279328	---MCZ	200	added ('OK')	text/css	etag:W/%22a943c7ccab26560b7e14ceed60b257e5%22	https://codigodivino.site/_astro-1759272843566/_slug_.DitqLDFy.css	D:/Meus%20Sites/CodigoDivino/codigodivino.site/_astro-1759272843566/_slug_.DitqLDFy.css	(from https://codigodivino.site/)
20:03:08	7031/7031	---M-Z	404	error ('Not%20Found')	text/html	etag:%2269c678a7-cdd%22	https://codigodivino.site/t	D:/Meus%20Sites/CodigoDivino/codigodivino.site/t	(from https://codigodivino.site/)
20:03:09	101745/101745	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:20:00%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754920122-AVLaED2RLRtvoNoe.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754920122-AVLaED2RLRtvoNoe.png	(from https://codigodivino.site/)
20:03:09	40328/40328	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:20:00%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=440,fit=crop/mv0J6lreP1hM886K/1754920122-AVLaED2RLRtvoNoe.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=440,fit=crop/mv0J6lreP1hM886K/1754920122-AVLaED2RLRtvoNoe.png	(from https://codigodivino.site/)
20:03:10	81261/81261	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:15%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754920171-mxBXLxJRznU0EWeB.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754920171-mxBXLxJRznU0EWeB.png	(from https://codigodivino.site/)
20:03:10	32762/32762	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:15%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=440,fit=crop/mv0J6lreP1hM886K/1754920171-mxBXLxJRznU0EWeB.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=440,fit=crop/mv0J6lreP1hM886K/1754920171-mxBXLxJRznU0EWeB.png	(from https://codigodivino.site/)
20:03:10	82364/82364	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:19%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754920422-Awv9xL6n15uK6Kpk.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754920422-Awv9xL6n15uK6Kpk.png	(from https://codigodivino.site/)
20:03:10	32330/32330	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:19%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=440,fit=crop/mv0J6lreP1hM886K/1754920422-Awv9xL6n15uK6Kpk.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=375,h=440,fit=crop/mv0J6lreP1hM886K/1754920422-Awv9xL6n15uK6Kpk.png	(from https://codigodivino.site/)
20:03:10	103593/103593	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Aug%202025%2014:24:16%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754920998-A85VW6bO0GF1zXo3.png	D:/Meus%20Sites/CodigoDivino/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=512,fit=crop/mv0J6lreP1hM886K/1754920998-A85VW6bO0GF1zXo3.png	(from https://codigodivino.site/)
